ANC	Anchorage	United States	Ted Stevens Anchorage International Airport
ANF	Antofagasta	Chile	Andrés Sabella Gálvez International Airport
ANI	Aniak	United States	Aniak Airport
ANR	Antwerp	Belgium	Antwerp International Airport (Deurne)
ANS	Andahuaylas	Peru	Andahuaylas Airport
ANU	Osbourn	Antigua and Barbuda	V. C. Bird International Airport
ANV	Anvik	United States	Anvik Airport
ANX	Andenes	Norway	Andøya Airport, Andenes
AOE	Eskişehir	Turkey	Hasan Polatkan Airport
AOG	Anshan	China	Anshan Teng'ao Airport / Anshan Air Base
AOI	Falconara Marittima (AN)	Italy	Marche Airport
AOJ	Aomori	Japan	Aomori Airport
AOK	Karpathos Island	Greece	Karpathos Airport
AOO	Altoona	United States	Altoona Blair County Airport
AOQ	Aappilattoq	Greenland	Aappilattoq Heliport
AOR	Alor Satar	Malaysia	Sultan Abdul Halim Airport
AOS	Amook Bay	United States	Amook Bay Seaplane Base
APK	Apataki	French Polynesia	Apataki Airport
APL	Nampula	Mozambique	Nampula Airport
APN	Alpena	United States	Alpena County Regional Airport
APO	Carepa	Colombia	Antonio Roldán Betancur Airport
APW	Apia	Samoa	Faleolo International Airport
AQA	Araraquara	Brazil	Araraquara Airport
AQG	Anqing	China	Anqing Tianzhushan Airport / Anqing North Air Base
AQI	Qaisumah	Saudi Arabia	Qaisumah–Hafar Al-Batin International Airport
AQJ	Aqaba	Jordan	King Hussein International Airport
AQP	Arequipa	Peru	Rodríguez Ballón International Airport
ARC	Arctic Village	United States	Arctic Village Airport
ARD	Kabola	Indonesia	Alor Island - Mali Airport
ARH	Archangelsk	Russia	Talagi Airport
ARI	Arica	Chile	Chacalluta International Airport
ARK	Arusha	Tanzania	Arusha Airport
ARM	Armidale	Australia	Armidale Airport
ARN	Stockholm	Sweden	Stockholm-Arlanda Airport
ART	Watertown	United States	Watertown International Airport
ARU	Araçatuba	Brazil	Araçatuba Airport
ARW	Arad	Romania	Arad International Airport
ASB	Ashgabat	Turkmenistan	Ashgabat International Airport
ASD	Andros Town	Bahamas	Andros Town Airport
ASE	Aspen	United States	Aspen-Pitkin County Airport (Sardy Field)
ASF	Astrakhan	Russia	Astrakhan Narimanovo Boris M. Kustodiev International Airport
ASI	Cat Hill	Saint Helena, Ascension and Tristan da Cunha	RAF Ascension Island
ASJ	Amami	Japan	Amami Airport
ASM	Asmara	Eritrea	Asmara International Airport
ASO	Asosa	Ethiopia	Asosa Airport
ASP	Alice Springs	Australia	Alice Springs Airport
ASR	Kayseri	Turkey	Kayseri Erkilet International Airport
ASU	Asunción	Paraguay	Silvio Pettirossi International Airport
ASV	Ol Tukai	Kenya	Amboseli Airport
ASW	Aswan	Egypt	Aswan International Airport
ATC	Arthur's Town	Bahamas	Arthur's Town Airport
ATH	Spata-Artemida	Greece	Athens Eleftherios Venizelos International Airport
ATK	Atqasuk	United States	Atqasuk Edward Burnell Sr Memorial Airport
ATL	Atlanta	United States	Hartsfield Jackson Atlanta International Airport
ATM	Altamira	Brazil	Altamira Interstate Airport
ATQ	Amritsar	India	Sri Guru Ram Das Ji International Airport
ATT	Atmautluak	United States	Atmautluak Airport
ATW	Appleton	United States	Appleton International Airport
ATY	Watertown	United States	Watertown Regional Airport
ATZ	Asyut	Egypt	Asyut International Airport
AUA	Oranjestad	Aruba	Queen Beatrix International Airport
AUC	Arauca	Colombia	Santiago Perez Airport
AUG	Augusta	United States	Augusta State Airport
AUH	Abu Dhabi	United Arab Emirates	Zayed International Airport
AUK	Alakanuk	United States	Alakanuk Airport
AUL	Aur Atoll	Marshall Islands	Aur Island Airport
AUQ	Hiva Oa Island	French Polynesia	Hiva Oa-Atuona Airport
AUR	Aurillac	France	Aurillac airport
AUS	Austin	United States	Austin Bergstrom International Airport
AUU	Aurukun	Australia	Aurukun Airport
AUX	Araguaína	Brazil	Araguaína Airport
AVA	Anshun (Xixiu)	China	Anshun Huangguoshu Airport
AVK	Arvaikheer	Mongolia	Arvaikheer Airport
AVL	Asheville	United States	Asheville Regional Airport
AVN	Avignon	France	Avignon Caumont airport
AVP	Wilkes-Barre/Scranton	United States	Wilkes-Barre/Scranton International Airport
AVR	Amravati	India	Amravati  Airport
AVV	Geelong/Melbourne	Australia	Melbourne Avalon International Airport
AWA	Hawassa	Ethiopia	Hawassa International Airport
AWK	Wake Island	United States Minor Outlying Islands	Wake Island Airfield
AWZ	Ahvaz	Iran	Qasem Soleimani International Airport
AXA	The Valley	Anguilla	Clayton J. Lloyd International Airport
AXD	Alexandroupolis	Greece	Alexandroupoli Democritus Airport
AXF	Bayanhot	China	Alxa Left Banner Bayanhot Airport
AXJ	Amakusa	Japan	Amakusa Airport
AXM	Armenia	Colombia	El Eden Airport
AXP	Spring Point	Bahamas	Spring Point Airport
AXR		French Polynesia	Arutua Airport
AXT	Akita	Japan	Akita Airport
AXU	Axum	Ethiopia	Axum Airport
AYJ	Faizabad	India	Maharshi Valmiki International Airport
AYP	Ayacucho	Peru	Air Force Colonel Alfredo Mendivil Duarte Airport
AYQ	Yulara	Australia	Ayers Rock Connellan Airport
AYT	Antalya	Turkey	Antalya International Airport
AZA	Mesa	United States	Mesa Gateway Airport
AZD	Yazd	Iran	Shahid Sadooghi Airport
AZN	Andijan	Uzbekistan	Andijan International Airport
AZO	Kalamazoo	United States	Kalamazoo/Battle Creek International Airport
AZR	Adrar	Algeria	Touat-Cheikh Sidi Mohamed Belkebir Airport
AZS	Samana	Dominican Republic	Samaná El Catey International Airport
BAH	Manama	Bahrain	Bahrain International Airport
BAL	Batman	Turkey	Batman Airport
BAQ	Barranquilla	Colombia	Ernesto Cortissoz International Airport
BAR	Qionghai (Basuo)	China	Qionghai Bo'ao Airport
BAS	Ballalae	Solomon Islands	Ballalae Airport
BAV	Baotou	China	Baotou Donghe International Airport
BAX	Barnaul	Russia	Barnaul Gherman Titov International Airport
BAY	Tăuții-Măgherăuș	Romania	Maramureș International Airport
BAZ	Barcelos	Brazil	Barcelos Airport
BBA	Balmaceda	Chile	Balmaceda Airport
BBG	Butaritari	Kiribati	Butaritari Airport
BBI	Bhubaneswar	India	Biju Patnaik International Airport
BBK	Kasane	Botswana	Kasane International Airport
BBM	Battambang	Cambodia	Battambang Airport
BBN	Bario	Malaysia	Bario Airport
BBO	Berbera	Somalia	Berbera Airport
BBQ	Codrington	Antigua and Barbuda	Burton-Nibbs International Airport
BBR	Basse-Terre	Guadeloupe	Basse-Terre Baillif Airport
BBU	Bucharest	Romania	Bucharest Băneasa Aurel Vlaicu International Airport
BCA	Baracoa	Cuba	Gustavo Rizo Airport
BCD	Bacolod City	Philippines	Bacolod-Silay International Airport
BCH	Baucau	Timor-Leste	Baucau Airport
BCI	Barcaldine	Australia	Barcaldine Airport
BCM	Bacău	Romania	Bacău George Enescu International  Airport
BCN	Barcelona	Spain	Josep Tarradellas Barcelona-El Prat Airport
BCO	Jinka	Ethiopia	Jinka Airport
BCU	Bauchi	Nigeria	Sir Abubakar Tafawa Balewa Bauchi State International Airport
BDA	Hamilton	Bermuda	L.F. Wade International Airport
BDB	Bundaberg	Australia	Bundaberg Airport
BDD	Badu Island	Australia	Badu Island Airport
BDH	Bandar Lengeh	Iran	Bandar Lengeh International Airport
BDJ	Banjarbaru	Indonesia	Syamsudin Noor International Airport
BDL	Hartford	United States	Bradley International Airport
BDO	Bandung	Indonesia	Husein Sastranegara International Airport
BDP	Bhadrapur	Nepal	Bhadrapur Airport
BDQ	Vadodara	India	Vadodara International Airport
BDS	Brindisi	Italy	Brindisi Airport
BDT	Gbadolite	Democratic Republic of the Congo	Gbadolite Airport
BDU	Målselv	Norway	Bardufoss Airport
BEB	Balivanich	United Kingdom	Benbecula Airport
BED	Bedford	United States	Laurence G Hanscom Field
BEF	Bluefields	Nicaragua	Bluefields Airport
BEG	Belgrade	Serbia	Belgrade Nikola Tesla Airport
BEJ	Tanjung Redeb - Borneo Island	Indonesia	Kalimarau Airport
BEK	Bareilly	India	Bareilly Air Force Station
BEL	Belém	Brazil	Val de Cans/Júlio Cezar Ribeiro International Airport
BEM	Oulad Yaich	Morocco	Beni Mellal Airport
BEN	Benina	Libya	Benina International Airport
BER	Berlin	Germany	Berlin Brandenburg Airport
BES	Brest	France	Brest Bretagne airport
BET	Bethel	United States	Bethel Airport
BEU	Bedourie	Australia	Bedourie Airport
BEW	Beira	Mozambique	Beira International Airport
BEY	Beirut	Lebanon	Beirut Rafic Hariri International Airport
BFD	Bradford	United States	Bradford Regional Airport
BFF	Scottsbluff	United States	Western Neb. Rgnl/William B. Heilig Airport
BFI	Seattle	United States	King County International Airport - Boeing Field
BFJ	Bijie	China	Bijie Feixiong Airport
BFL	Bakersfield	United States	Meadows Field
BFN	Bloemfontein	South Africa	Bram Fischer International Airport
BFQ	Puerto Piña	Panama	Bahia Piña Airport
BFS	Belfast	United Kingdom	Belfast International Airport
BFV	Buriram	Thailand	Buri Ram Airport
BFY	Bengbu	China	Bengbu Tenghu Airport
BGA	Bucaramanga	Colombia	Palonegro Airport
BGC	Bragança	Portugal	Bragança Airport
BGF	Bangui	Central African Republic	Bangui M'Poko International Airport
BGG	Bingöl	Turkey	Bingöl Airport
BGI	Bridgetown	Barbados	Grantley Adams International Airport
BGK	Big Creek	Belize	Big Creek Airport
BGM	Binghamton	United States	Greater Binghamton/Edwin A Link field
BGO	Bergen	Norway	Bergen Airport, Flesland
BGR	Bangor	United States	Bangor International Airport
BGW	Baghdad	Iraq	Baghdad International Airport / New Al Muthana Air Base
BGY	Orio al Serio (BG)	Italy	Il Caravaggio International Airport
BHB	Bar Harbor	United States	Hancock County-Bar Harbor Airport
BHD	Belfast	United Kingdom	George Best Belfast City Airport
BHE	Blenheim	New Zealand	Woodbourne Airport
BHH	Bisha	Saudi Arabia	Bisha Airport
BHI	Bahía Blanca	Argentina	Comandante Espora Airport
BHJ	Bhuj	India	Bhuj Airport
BHK	Bukhara	Uzbekistan	Bukhara International Airport
BHM	Birmingham	United States	Birmingham-Shuttlesworth International Airport
BHO	Bhopal	India	Raja Bhoj International Airport
BHQ	Broken Hill	Australia	Broken Hill Airport
BHR	Bharatpur	Nepal	Bharatpur Airport
BHS	Bathurst	Australia	Bathurst Airport
BHU	Bhavnagar	India	Bhavnagar Airport
BHV	Bahawalpur	Pakistan	Bahawalpur Airport
BHX	Birmingham, West Midlands	United Kingdom	Birmingham Airport
BHY	Beihai	China	Beihai Fucheng Airport
BIA	Bastia	France	Bastia-Poretta International airport
BID	Block Island	United States	Block Island State Airport
BIH	Bishop	United States	Eastern Sierra Regional Airport
BIK	Biak	Indonesia	Frans Kaisiepo Airport
BIL	Billings	United States	Billings Logan International Airport
BIM	South Bimini	Bahamas	South Bimini Airport
BIO	Bilbao	Spain	Bilbao Airport
BIQ	Biarritz	France	Biarritz Pays Basque airport
BIR	Biratnagar	Nepal	Biratnagar Airport
BIS	Bismarck	United States	Bismarck Municipal Airport
BJA	Béjaïa	Algeria	Soummam–Abane Ramdane Airport
BJB	Bojnord	Iran	Bojnord Airport
BJC	Denver	United States	Rocky Mountain Metropolitan Airport
BJF	Båtsfjord	Norway	Båtsfjord Airport
BJL	Banjul (Yundum)	Gambia	Banjul International Airport
BJM	Bujumbura	Burundi	Bujumbura Melchior Ndadaye International Airport
BJR	Bahir Dar	Ethiopia	Bahir Dar Airport
BJT	Bentota	Sri Lanka	Bentota River Waterdrome
BJV	Bodrum	Turkey	Milas Bodrum International Airport
BJX	Silao	Mexico	Guanajuato International Airport
BJZ	Badajoz	Spain	Badajoz Airport
BKC	Buckland	United States	Buckland Airport
BKF	Katmai National Park	United States	Lake Brooks Seaplane Base
BKG	Branson	United States	Branson Airport
BKI	Kota Kinabalu	Malaysia	Kota Kinabalu International Airport
BKK	Bangkok	Thailand	Suvarnabhumi Airport
BKM	Bakalalan	Malaysia	Bakalalan Airport
BKN	Balkanabat	Turkmenistan	Balkanabat International Airport
BKO	Bamako	Mali	Modibo Keita International Airport
BKQ	Blackall	Australia	Blackall Airport
BKS	Bengkulu	Indonesia	Fatmawati Soekarno Airport
BKW	Beaver	United States	Raleigh County Memorial Airport
BKZ	Bukoba	Tanzania	Bukoba Airport
BLA	Barcelona	Venezuela	General José Antonio Anzoategui International Airport
BLB	Panamá City	Panama	Panamá Pacífico International Airport
BLD	Boulder City	United States	Boulder City Municipal Airport
BLE	Borlange	Sweden	Dala Airport
BLI	Bellingham	United States	Bellingham International Airport
BLJ	Batna	Algeria	Batna Mostefa Ben Boulaid Airport
BLL	Billund	Denmark	Billund Airport
BLQ	Bologna	Italy	Bologna Guglielmo Marconi Airport
BLR	Bengaluru	India	Kempegowda International Airport Bengaluru
BLV	Belleville	United States	Scott AFB/Midamerica Airport
BLW	Beledweyne	Somalia	Beledweyne Airport
BLZ	Blantyre	Malawi	Chileka International Airport
BMA	Stockholm	Sweden	Stockholm-Bromma Airport
BME	Broome	Australia	Broome International Airport
BMI	Bloomington/Normal	United States	Central Illinois Regional Airport at Bloomington-Normal
BMK	Borkum	Germany	Borkum Airport
BMO	Banmaw	Myanmar	Banmaw Airport
BMR	Baltrum	Germany	Baltrum Airport
BMU	Bima	Indonesia	Sultan Muhammad Salahuddin Airport
BMV	Buon Ma Thuot	Vietnam	Buon Ma Thuot Airport
BMW	Bordj Badji Mokhtar	Algeria	Bordj Badji Mokhtar Airport
BMY	Waala	New Caledonia	Île Art - Waala Airport
BNA	Nashville	United States	Nashville International Airport
BNB	Boende	Democratic Republic of the Congo	Boende Airport
BND	Bandar Abbas	Iran	Bandar Abbas International Airport
BNE	Brisbane	Australia	Brisbane International Airport
BNI	Benin	Nigeria	Benin Airport
BNK	Ballina	Australia	Ballina Byron Gateway Airport
BNN	Brønnøy	Norway	Brønnøysund Airport, Brønnøy
BNS	Barinas	Venezuela	Barinas Airport
BNX	Mahovljani	Bosnia and Herzegovina	Banja Luka International Airport
BNY	Anua	Solomon Islands	Bellona/Anua Airport
BOB	Motu Mute	French Polynesia	Bora Bora Airport
BOC	Isla Colón	Panama	Bocas del Toro "Isla Colón" International Airport
BOD	Bordeaux	France	Bordeaux–Mérignac Airport
BOG	Bogota	Colombia	El Dorado International Airport
BOH	Bournemouth	United Kingdom	Bournemouth Airport
BOI	Boise	United States	Boise Air Terminal/Gowen Field
BOJ	Burgas	Bulgaria	Burgas Airport
BOM	Mumbai	India	Chhatrapati Shivaji Maharaj International Airport
BON	Kralendijk	Caribbean Netherlands	Flamingo International Airport
BOO	Bodø	Norway	Bodø Airport
BOR	Ton Phueng	Laos	Bokeo International Airport
BOS	Boston	United States	Boston Logan International Airport
BOT	Bosset	Papua New Guinea	Bosset Airport
BOY	Bobo Dioulasso	Burkina Faso	Bobo Dioulasso Airport
BPE	Qinhuangdao (Changli)	China	Qinhuangdao Beidaihe Airport
BPL	Bole	China	Bole Alashankou Airport
BPN	Balikpapan	Indonesia	Sultan Aji Muhammad Sulaiman Sepinggan International Airport
BPS	Porto Seguro	Brazil	Porto Seguro International Airport
BPT	Beaumont/Port Arthur	United States	Jack Brooks Regional Airport
BPX	Bangda	China	Qamdo Bangda Airport
BPY	Besalampy	Madagascar	Besalampy Airport
BQB	Busselton	Australia	Busselton Margaret River Regional Airport
BQG	Bogorodskoye	Russia	Bogorodskoye Airport
BQJ	Batagay	Russia	Batagay Airport
BQK	Brunswick	United States	Brunswick Golden Isles Airport
BQL		Australia	Boulia Airport
BQN	Aguadilla	Puerto Rico	Rafael Hernández International Airport
BQS	Blagoveschensk	Russia	Ignatyevo Airport
BQT	Brest	Belarus	Brest International Airport
BQU	Bequia	Saint Vincent and the Grenadines	J F Mitchell Airport
BRA	Barreiras	Brazil	Dom Ricardo Weberberger Airport
BRC	San Carlos de Bariloche	Argentina	Teniente Luis Candelaria International Airport
BRD	Brainerd	United States	Brainerd Lakes Regional Airport
BRE	Bremen	Germany	Bremen Airport
BRI	Bari	Italy	Bari Karol Wojtyła International Airport
BRK		Australia	Bourke Airport
BRL	Burlington	United States	Southeast Iowa Regional Airport
BRM	Barquisimeto	Venezuela	Jacinto Lara International Airport
BRN	Bern	Switzerland	Bern Airport
BRO	Brownsville	United States	Brownsville South Padre Island International Airport
BRQ	Brno	Czech Republic	Brno-Tuřany Airport
BRR	Eoligarry	United Kingdom	Barra Airport
BRS	Bristol	United Kingdom	Bristol Airport
BRU	Zaventem	Belgium	Brussels Airport
BRW	Utqiaġvik	United States	Wiley Post Will Rogers Memorial Airport
BRX	Barahona	Dominican Republic	Maria Montez International Airport
BSA	Bosaso	Somalia	Bender Qassim International Airport
BSB	Brasília	Brazil	Presidente Juscelino Kubitschek International Airport
BSC	Bahía Solano	Colombia	José Celestino Mutis Airport
BSD	Baoshan (Longyang)	China	Baoshan Yunrui Airport
BSG	Bata	Equatorial Guinea	Bata International Airport
BSK	Biskra	Algeria	Biskra - Mohamed Khider Airport
BSL	Bâle / Mulhouse	France	EuroAirport Basel–Mulhouse–Freiburg
BSO	Basco	Philippines	Basco Airport
BSR	Basra	Iraq	Basra International Airport
BSX	Pathein	Myanmar	Pathein Airport
BSZ	Bishkek	Kyrgyzstan	Manas International Airport
BTC	Batticaloa	Sri Lanka	Batticaloa International Airport
BTH	Batam	Indonesia	Hang Nadim International Airport
BTI	Barter Island	United States	Barter Island Long Range Radar Station Airport
BTJ	Banda Aceh	Indonesia	Sultan Iskandar Muda International Airport
BTK	Bratsk	Russia	Bratsk Airport
BTM	Butte	United States	Bert Mooney Airport
BTR	Baton Rouge	United States	Baton Rouge Metropolitan Airport
BTS	Bratislava	Slovakia	M. R. Štefánik Airport
BTT	Bettles	United States	Bettles Airport
BTU	Bintulu	Malaysia	Bintulu Airport
BTV	Burlington	United States	Patrick Leahy Burlington International Airport
BTW	Batu Licin	Indonesia	Bersujud Airport
BUA	Buka Island	Papua New Guinea	Buka Airport
BUC		Australia	Burketown Airport
BUD	Budapest	Hungary	Budapest Liszt Ferenc International Airport
BUF	Buffalo	United States	Buffalo Niagara International Airport
BUI	Bokondini	Indonesia	Bokondini Airport
BUN	Buenaventura	Colombia	Gerardo Tobar López Airport
BUQ	Bulawayo	Zimbabwe	Joshua Mqabuko Nkomo International Airport
BUR	Burbank	United States	Hollywood Burbank/Bob Hope Airport
BUS	Batumi	Georgia	Alexander Kartveli Batumi International Airport
BUT	Jakar	Bhutan	Bathpalathang Airport
BUU	Muara Bungo	Indonesia	Muara Bungo Airport
BUX	Bunia	Democratic Republic of the Congo	Bunia Airport
BUZ	Bushehr	Iran	Bushehr Airport
BVA	Beauvais	France	Beauvais-Tillé airport
BVB	Boa Vista	Brazil	Atlas Brasil Cantanhede International Airport
BVC	Rabil	Cape Verde	Aristides Pereira International Airport
BVE	Brive	France	Brive Souillac airport
BVG	Berlevåg	Norway	Berlevåg Airport
BVH	Vilhena	Brazil	Brigadeiro Camarão Airport
BVI		Australia	Birdsville Airport
BVJ	Bovanenkovo	Russia	Bovanenkovo Airport
BVS	Breves	Brazil	Breves Airport
BWA	Siddharthanagar (Bhairahawa)	Nepal	Gautam Buddha International Airport
BWI	Baltimore	United States	Baltimore/Washington International Thurgood Marshall Airport
BWK	Gornji Humac	Croatia	Brač Airport
BWN	Bandar Seri Begawan	Brunei	Brunei International Airport
BWO	Balakovo	Russia	Balakovo Airport
BWT	Burnie	Australia	Wynyard Airport
BWX	Rogojampi, Banyuwangi	Indonesia	Banyuwangi Airport
BXG		Australia	Bendigo Airport
BXH	Balkhash	Kazakhstan	Balkhash Airport
BXR	Bam	Iran	Bam Airport
BXT	Bontang-Borneo Island	Indonesia	LNG Badak Airport
BXU	Butuan	Philippines	Bancasi Airport
BXY	Baikonur	Kazakhstan	Baikonur Krayniy International Airport
BYK	Bouaké	Côte d'Ivoire	Bouaké Airport
BYM	Bayamo	Cuba	Carlos Manuel de Cespedes Airport
BYN	Bayankhongor	Mongolia	Bayankhongor Airport
BYO	Bonito	Brazil	Bonito Airport
BYR	Læsø	Denmark	Læsø Airport
BYW	Blakely Island	United States	Blakely Island Airport
BZE	Belize City	Belize	Philip S. W. Goldson International Airport
BZG	Bydgoszcz	Poland	Ignacy Jan Paderewski Bydgoszcz Airport
BZI	Balıkesir	Turkey	Balıkesir Airport
BZK	Bryansk	Russia	Bryansk International Airport
BZL	Barisal	Bangladesh	Barisal Airport
BZN	Bozeman	United States	Bozeman Yellowstone International Airport
BZO	Bolzano (BZ)	Italy	Bolzano Airport
BZR	Béziers	France	Béziers Vias airport
BZV	Brazzaville	Republic of the Congo	Maya-Maya International Airport
BZX	Bazhong	China	Bazhong Enyang Airport
CAB	Cabinda	Angola	Cabinda Airport
CAC	Cascavel	Brazil	Coronel Adalberto Mendes da Silva Airport
CAE	Columbia	United States	Columbia Metropolitan Airport
CAF	Carauari	Brazil	Carauari Airport
CAG	Cagliari	Italy	Cagliari Elmas Airport
CAH	Ca Mau City	Vietnam	Cà Mau Airport
CAI	Cairo	Egypt	Cairo International Airport
CAJ	Canaima	Venezuela	Canaima Airport
CAK	Akron	United States	Akron Canton Regional Airport
